vin,perc_days,avg_daily_max,avg_daily_mean,overall_max,overall_mean,mean_day_length_g,mean_day_length_r_g,mean_drive_length_r_g,mean_drive_length_g
ZHWEA6ZX4MLA17730,0.26373626373626374,62.71314046706169,23.9794353433252,150,23.9794353433252,2266.6666666666665,525.8936170212766,196.16666666666666,2266.6666666666665
ZHWEA6ZX4MLA17744,0.39204545454545453,170.9659065772442,53.10584501778568,249.448,53.10584501778568,7127.6,4018.735294117647,1115.404081632653,2929.150684931507
ZHWEA6ZX4MLA17761,0.12643678160919541,105.6109827093596,44.838853763546794,141.622,44.8388537635468,1890,555.5454545454545,207.15254237288136,1890
ZHWEA6ZX4MLA17999,0.1357142857142857,96.48498331479422,30.023359288097886,149,30.023359288097886,2207,407.1111111111111,140.92307692307693,2207
ZHWEA6ZX4MLA18005,0.37142857142857144,240.7504753244606,65.17888732743656,325,65.17888732743656,6790.7,3362.9411764705883,824.5673076923077,1940.2
ZHWEA6ZX4NLA18054,0.18796992481203006,184.7439163498099,62.924144486692015,238,62.924144486692015,11210.5,2478.2,794.2948717948718,4076.5454545454545
ZHWEA6ZX4NLA18118,NA,NA,NA,NA,NA,NA,NA,NA,NA
ZHWEA6ZX4NLA18152,0.5777777777777777,170.0516495632262,48.60516495632262,231,48.60516495632262,6263.782608695652,4120.961538461538,900.3781512605042,2118.6323529411766
ZHWEA6ZX4NLA18202,0.32926829268292684,158.19771066244726,64.28683753586498,230.136,64.28683753586498,6420,708.2962962962963,265.6111111111111,2568
ZHWEA6ZX4NLA18328,0.19402985074626866,88.31607629427793,38.01089918256131,140,38.01089918256131,2281,321.0833333333333,160.54166666666666,2281
ZHWEA6ZX4NLA18622,0.2727272727272727,112.28152492668622,44.3900293255132,150,44.3900293255132,2171,339.3333333333333,160.73684210526315,2171
ZHWEA6ZX4NLA18684,0.4090909090909091,118.0059880239521,54.32934131736527,133,54.32934131736527,NA,188.66666666666666,84.9,NA
ZHWEA6ZX4NLA18698,0.3684210526315789,147.73684210526315,49.38791423001949,165,49.38791423001949,2250,427.7142857142857,176.11764705882354,2250
ZHWEA6ZX4NLA18832,0.5454545454545454,121.52252252252252,54.167567567567566,135,54.167567567567566,2715,631.1666666666666,291.3076923076923,2715
ZHWEA6ZX4NLA18863,0.3333333333333333,19.312126666666668,9.656065,25.7495,9.656065,NA,NA,NA,NA
ZHWEA6ZX4NLA18894,0.3333333333333333,138,62,138,62,2080,2142,714,2080
ZHWEA6ZX5MLA16263,0.12962962962962962,73.81203931203932,21.53746928746929,183,21.53746928746929,1342.6666666666667,496.46153846153845,215.13333333333333,805.6
ZHWEA6ZX5MLA16294,0.2781954887218045,246.12515558014107,93.20840824229015,281,93.20840824229013,7831.090909090909,2847.6666666666665,510.02985074626866,1148.56
ZHWEA6ZX5MLA16425,0.2857142857142857,245.5166973295423,97.60249763059598,282,97.60249763059598,10955.357142857143,4750.540540540541,683.9299610894942,1433.411214953271
ZHWEA6ZX5MLA16697,0.1575091575091575,189.17833271444485,72.2272558484961,235,72.2272558484961,8617.6,1799.2439024390244,495.09395973154363,1436.2666666666667
